statut,etude,ville,region,courriel,telephone,notaires_connus,segment,source,source_url,date_source,canal,e1_envoye,e2_envoye,e3_envoye,entrevue_date,h1_plages_vides,h2_bascule_x,h3_reaction,reaction_75_25,h4_decideur,h5_logiciel,h6_refus_art46,references,cohorte,notes
brouillon_pret,Novallier,Montréal (Rosemont),Montréal,info@novallier.ca,450-449-1000,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Paré Tanguay Notaires,Sherbrooke,Estrie,information@paretanguay.net,819-563-3344,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Parizeau Tremblay Forest Lapointe,Alma,Saguenay–Lac-Saint-Jean,svezina@ptfl.ca,418-668-2336,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,PME INTER Notaires Abitibi,Amos,Abitibi-Témiscamingue,notaires@notairesabitibi.com,819-732-2812,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,PME INTER Notaires Baie-Comeau,Baie-Comeau,Côte-Nord,admin@notairebc.ca,418-296-3596,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,"Éloignement : cible naturelle pour l'acte à distance (H6, art. 46)."
brouillon_pret,PME INTER Notaires Sainte-Marie,Sainte-Marie,Chaudière-Appalaches,info@lesnotaires.net,418-387-5700,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,PME INTER Notaires Vallée-de-la-Gatineau,Maniwaki,Outaouais,r.lefebvre-bastien@notarius.net,819-449-6180,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,Éloignement : cible H6.
brouillon_pret,Rousseau Talbot Notaires & Associé,Chambly,Montérégie,reception@rtnotaires.com,450-658-4090,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Saint-Pierre Fluet et Belval Notaires,Roxton Pond,Montérégie,info@sfbnotaires.com,450-774-1047,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
brouillon_pret,Simard Côté Monette Notaires,Gaspé,Gaspésie,info@scmnotaires.com,418-360-0363,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,Éloignement : cible H6.
brouillon_pret,Tousignant Rodrigue Veilleux Mathieu,Saint-Georges (Beauce),Chaudière-Appalaches,trnotair@notarius.net,418-227-5525,,pme_inter,site_reseau,https://pmeinter.com/nos-etudes/,2026-09-01,courriel,,,,,,,,,,,,,,
a_contacter,Jurisconseil (réseau),Montréal,Provincial,,514-657-2045,,reseau,site_reseau,https://www.jurisconseil.com/,2026-09-01,telephone,,,,,,,,,,,,,,"PRIORITÉ RÉSEAU : 17 études membres (Alma, Gatineau, Joliette, La Prairie, Laval, Longueuil, Mont-Tremblant, Montréal, Québec, Rouyn-Noranda, Saint-Eustache, Saint-Jean, Sainte-Marie, Sherbrooke, Trois-Rivières, Val-d'Or, Val-des-Sources). Formulaire seulement — appeler la direction générale."
brouillon_pret,AJNQ — Association des jeunes notaires,Saint-Jérôme,Provincial,info.ajnq@gmail.com,,C.A. : Joanie Mathieu (prés.); Catherine Cloutier (v.-p.),association,site_officiel,https://www.ajnq.org/,2026-09-01,courriel,,,,,,,,,,,,,,PORTE PRINCIPALE pour le segment choisi : membres = notaires de moins de 15 ans de pratique. Brouillon prêt dans approche-institutions.md.
brouillon_pret,APNQ — Association professionnelle,Brossard,Provincial,clemieux@apnq.qc.ca,450-904-2767 poste 105,,association,site_officiel,https://www.apnq.qc.ca/,2026-09-01,courriel,,,,,,,,,,,,,,"VÉRIFIÉE À LA SOURCE : page « Nous joindre » de l'APNQ, archive du 2023-09-27. Colette Lemieux, responsable des communications et relations publiques — rangée sous « Demandes médias » ; le courriel demande à être redirigé au besoin. L'APNQ ne publie aucune adresse générale. Site en panne (« système indisponible »), formulaire compris — le téléphone est la voie sûre. Sans frais 1-866-775-2767. Bureaux : 6300 av. Auteuil, bureau 223, Brossard J4Z 3P2. Colloque 2024 : ~150 participants, 16 exposants (Avancie, Juris Concept, Stewart Title, SOQUIJ, CAIJ, Edilex, PME INTER...)."
brouillon_pret,Chambre des notaires du Québec,Montréal,Provincial,techno@cnq.org,514-879-1793,,ordre,site_officiel,https://www.cnq.org/nous-joindre/,2026-09-01,courriel,,,,,,,,,,,,,,"PORTE CORRIGÉE : techno@cnq.org, publiée au bas de la page des fournisseurs de solutions technologiques (« pour toute demande d'information additionnelle ») — meilleure que espacenotaire@cnq.org. Les coordonnées par direction sont derrière l'Espace notaire. NE PAS écrire à discipline@cnq.org. HOMOLOGATION MOMENTANÉMENT SUSPENDUE : vérification de conformité aux frais du fournisseur, ISO/IEC 27001 ou 27017 ou SOC 2 Type II en atout, présentation de la solution, entente signée. Coût non budgété au plan."
